Process name: screen_9
Created at: Sat Aug  2 23:55:53 2025
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:14 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:14 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:14 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:15 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:16 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:16 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:16 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:17 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
